campaign_id,business_name,category,business_location,promo,start_time,end_time,target_group,budget
CMP_1128_B01,Khan Kirana,Automotive Sales & Service,Bhopal,Monsoon Magic: Flat ₹250 Cashback on Chai & Pakora orders Learn More Weekend Deal! *Offer valid in Bhopal.,2025-03-30 01:38:18,2025-05-24 03:38:18,DIY Crafters,430400
CMP_9172_B02,Reddy Tailors,Handicrafts & Textiles,Patna,New Arrival Launch Offer: Get Designer Diya Set% introductory discount Shop Now! Few Spots Left! *Selected items only.,2025-05-05 20:29:43,2025-07-16 19:29:43,Devotional Followers,93900
CMP_6019_C03,Naidu Opticals,Cafe & Bakery Offers,Patna,App Exclusive Deal: Kurta% Extra Discount! Shop Now! Offer Ends Soon!,2025-03-28 11:09:21,2025-06-02 16:09:21,Readers / Book Lovers,102100
CMP_4674_E04,Vedic Point,Organic & Desi Groceries,Udaipur,Flash Sale Alert: ₹250 OFF for next 3 hours! Learn More Today Only!,2025-04-24 21:00:25,2025-07-07 13:00:25,Senior Citizens (60+),177300
CMP_7736_D05,Raj Chowk,Amusement Parks,Agra,Monsoon Magic: Flat ₹200 Cashback on Chai & Pakora orders Explore Collection *Min. spend required.,2025-05-03 15:05:25,2025-07-25 01:05:25,Gamers,201600
CMP_6705_A06,Guru Point,Fitness & Yoga Centers,Chennai,Diwali Dhamaka: Free Dinner Set with purchase over ₹799 Book Today! Today Only!,2025-04-08 22:48:58,2025-05-19 21:48:58,Young Professionals (23-30),487700
CMP_4214_C07,Shimla Tours & Travels,Startup Funding,Shimla,Combo Deal: Pizza + Raita @ just ₹199 Book Today! *On app orders only.,2025-05-03 10:45:40,2025-06-10 14:45:40,Tourists,79800
CMP_8401_C08,Sharma Opticals,Beauty & Personal Care,Indore,Refer a Friend & Earn ₹25 wallet cash *Min. spend required.,2025-04-11 17:23:43,2025-07-01 07:23:43,Fitness Enthusiasts,251100
CMP_5776_B09,Parampara Kendra,Gold & Jewellery,Guwahati,Shaadi Season Special: 40% Discount on Wedding Collection Festive Special!,2025-03-28 14:18:44,2025-05-08 03:18:44,Home Buyers,159300
CMP_3192_D10,Apna Kendra,Handicrafts & Textiles,Jodhpur,Flash Sale Alert: ₹25 OFF for next 3 hours! Learn More Few Spots Left! *Min. spend required.,2025-04-05 19:18:23,2025-04-23 12:18:23,Business Owners,59000
CMP_9406_C11,Maha Chowk,Flight/Train Tickets,Vadodara,Recharge Bonanza: Get ₹10 Cashback on mobile recharge of ₹199 or more While Stocks Last! *Offer valid in Vadodara.,2025-05-14 11:47:27,2025-05-20 02:47:27,Movie Goers,18100
CMP_9728_E12,Desi Point,Online Education Courses,Aurangabad,Diwali Dhamaka: Free Gift Voucher with purchase over ₹2499 Shop Now! Ending Midnight! *On app orders only.,2025-05-21 02:06:56,2025-07-29 06:06:56,Students (Exam Prep),331800
CMP_6653_A13,Maha World,Western Apparel,Bangalore (Bengaluru),Independence Day Sale: Upto 70% OFF everything! *Min. spend required.,2025-05-24 03:41:12,2025-07-30 16:41:12,Newly Married Couples,552800
CMP_4396_B14,Vedic Junction,Handicrafts & Textiles,Nashik,Upgrade Offer: Exchange your old Smartphone for new & get ₹5000 bonus Learn More Festive Special! *Min. spend required.,2025-05-10 03:29:16,2025-05-14 10:29:16,Patients (Pharmacy),13900
CMP_8556_E15,Patel Mobiles,Gold & Jewellery,Darjeeling,Clearance Sale: FLAT 70% OFF on selected items Shop Now! *Offer valid in Darjeeling.,2025-04-27 21:08:53,2025-05-29 00:08:53,SMEs,107000
CMP_2394_C16,Agarwal Computer Repair,Gardening Supplies,Bangalore (Bengaluru),Refer a Friend & Earn ₹100 wallet cash Order Online Ending Midnight! *Selected items only.,2025-05-23 02:36:06,2025-06-06 15:36:06,Cricket Fans,137800
CMP_6123_D17,Malhotra Quick Cabs,Pilgrimage & Spiritual Tours,Mysore,New Arrival Launch Offer: Get Sweets Box% introductory discount Explore Collection *Offer valid in Mysore.,2025-05-25 03:23:06,2025-07-30 01:23:06,Devotional Followers,205200
CMP_9536_B18,Agarwal Electronics,Home Pooja Decor,Agra,Ganesh Chaturthi Offer: Free Modak box with select sweet purchases Order Online Offer Ends Soon! *Min. spend required.,2025-04-03 23:08:43,2025-04-29 13:08:43,Students (Exam Prep),86400
CMP_8156_D19,Khan Electronics,Beauty & Personal Care,Guwahati,Independence Day Sale: Upto 30% OFF everything! Book Today!,2025-05-23 11:41:49,2025-08-17 09:41:49,Online Shoppers,145900
CMP_3298_A20,SmartWorld,Nightlife & Entertainment,Goa,New Arrival Launch Offer: Get Designer Diya Set% introductory discount Shop Now! Limited Time Offer!,2025-04-02 09:38:07,2025-06-01 10:38:07,Working Mothers,152400
CMP_4748_E21,Namaste Point,Western Apparel,Udaipur,IPL Fever: Predict & Win Discount Coupon worth ₹150 Get Offer Weekend Deal! *New users only.,2025-05-25 16:37:14,2025-05-31 17:37:14,Readers / Book Lovers,53900
CMP_6981_B22,Singh Bakery,Pet Care,Nashik,New Arrival Launch Offer: Get Power Bank% introductory discount Visit Store,2025-04-06 15:11:44,2025-05-24 11:11:44,Online Shoppers,102200
